epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02058,3.20431,4.0042,2.10065,0.33414,0.00507,0.06748,0.00271,0.00075,3.18226,3.37006,1.80836,0.29131,0.0002,0.0002,0.0002
2,10.6701,2.68657,3.11622,1.55574,0.37071,0.02926,0.48466,0.02503,0.00673,2.64089,2.98756,1.46967,0.30575,0.000419897,0.000419897,0.000419897
3,14.5673,2.36717,2.64215,1.50148,0.32005,0.17475,0.2454,0.13329,0.03691,2.36778,2.99997,1.40588,0.2449,0.000639375,0.000639375,0.000639375
4,19.5945,2.26678,2.07857,1.55674,0.28307,0.51861,0.57055,0.49944,0.14979,2.3925,2.76429,1.4181,0.22072,0.000858111,0.000858111,0.000858111
5,28.6998,2.1461,1.94794,1.5158,0.2755,0.57527,0.62577,0.59743,0.21965,2.12274,2.14655,1.39562,0.17935,0.00107578,0.00107578,0.00107578
6,32.0992,2.1196,1.56208,1.44859,0.24604,0.34159,0.76074,0.4083,0.13709,2.18118,1.87455,1.45536,0.17372,0.00129208,0.00129208,0.00129208
7,35.6583,1.94548,1.43382,1.48025,0.22409,0.3691,0.61734,0.4191,0.12605,2.44456,2.59061,1.60575,0.19198,0.00150667,0.00150667,0.00150667
8,39.2162,2.00851,1.3569,1.44289,0.24973,0.40117,0.77678,0.46967,0.14989,2.33937,1.95289,1.58141,0.18215,0.00171926,0.00171926,0.00171926
9,45.9557,1.90163,1.36756,1.55039,0.18576,0.40117,0.77678,0.46967,0.14989,2.33937,1.95289,1.58141,0.18215,0.00192952,0.00192952,0.00192952
10,56.0902,1.91838,1.29461,1.4517,0.21803,0.53235,0.80368,0.6361,0.22793,2.10558,2.94563,1.43291,0.14942,0.00196069,0.00196069,0.00196069
11,64.8507,1.8997,1.21465,1.57384,0.20034,0.58531,0.788,0.68422,0.2514,2.17942,2.84192,1.45714,0.16839,0.00195155,0.00195155,0.00195155
12,75.3252,1.78968,1.11758,1.38977,0.24778,0.58531,0.788,0.68422,0.2514,2.17942,2.84192,1.45714,0.16839,0.00194147,0.00194147,0.00194147
13,84.7644,1.82046,1.13239,1.35309,0.21289,0.54092,0.72288,0.64375,0.20017,2.44036,1.95126,1.56085,0.17101,0.00193048,0.00193048,0.00193048
14,94.0709,1.77646,1.14933,1.3413,0.18693,0.72873,0.79107,0.81545,0.39063,1.69815,1.17908,1.34869,0.08863,0.00191858,0.00191858,0.00191858
15,104.196,1.68244,1.0762,1.44103,0.15994,0.72873,0.79107,0.81545,0.39063,1.69815,1.17908,1.34869,0.08863,0.00190578,0.00190578,0.00190578
16,113.414,1.71144,1.05365,1.39889,0.16798,0.70436,0.86239,0.81486,0.38452,1.62456,1.38666,1.3238,0.09343,0.0018921,0.0018921,0.0018921
17,123.789,1.6617,0.9839,1.30517,0.19618,0.83029,0.88344,0.8922,0.45144,1.54899,1.1616,1.3115,0.08133,0.00187754,0.00187754,0.00187754
18,133.564,1.63006,1.02889,1.35781,0.17765,0.86626,0.91411,0.91753,0.49481,1.50561,0.9391,1.31238,0.08116,0.00186213,0.00186213,0.00186213
