epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1563,2.4395,4.20891,2.48035,0.22635,0.11573,0.76309,0.183,0.05407,2.02695,2.95916,2.20004,0.21078,0.00016,0.00016,0.08416
2,24.8483,2.00651,2.45976,2.01391,0.20047,0.40492,0.34165,0.32713,0.11566,1.89489,2.64312,1.99316,0.1769,0.000329919,0.000329919,0.0673299
3,36.5275,1.71689,1.74604,1.99556,0.13974,0.45965,0.7255,0.51974,0.23748,1.4976,1.58264,1.91545,0.08487,0.000499512,0.000499512,0.0504995
4,47.7003,1.55664,1.53081,2.10218,0.1093,0.50903,0.7343,0.60155,0.26094,1.62235,1.46251,2.02854,0.08062,0.000668528,0.000668528,0.0336685
5,58.7601,1.55471,1.42634,2.1213,0.09795,0.62954,0.71195,0.70128,0.33471,1.59265,1.41458,2.05556,0.07342,0.000836721,0.000836721,0.0168367
6,70.4229,1.63674,1.29341,1.96661,0.10032,0.74499,0.84539,0.84054,0.48473,1.34115,1.11841,1.88393,0.06313,0.000993906,0.000993906,0.000993906
7,81.9201,1.59295,1.24024,1.92944,0.09592,0.79388,0.84521,0.86184,0.47956,1.31906,1.12131,1.9253,0.06279,0.000991232,0.000991232,0.000991232
8,93.8081,1.45003,1.15337,1.88756,0.08671,0.77297,0.83541,0.86365,0.44855,1.42675,1.0808,1.97286,0.06381,0.000988079,0.000988079,0.000988079
9,105.526,1.42095,1.07683,1.85366,0.09055,0.82457,0.86783,0.89927,0.51857,1.30161,0.97824,1.80187,0.0569,0.000984449,0.000984449,0.000984449
10,116.727,1.37755,1.08292,1.7206,0.08364,0.86381,0.87781,0.91961,0.58348,1.1911,0.93196,1.65258,0.04934,0.000980345,0.000980345,0.000980345
11,128.226,1.37412,1.00703,1.66647,0.08031,0.82657,0.89027,0.91682,0.55308,1.22305,1.02411,1.67398,0.04635,0.000975773,0.000975773,0.000975773
12,140.532,1.34911,1.00074,1.62835,0.07492,0.79903,0.88279,0.90684,0.49631,1.39202,1.12337,1.7833,0.05,0.000970736,0.000970736,0.000970736
13,152.107,1.34509,0.99532,1.6212,0.08325,0.84483,0.87781,0.92498,0.53421,1.36318,0.99664,1.72821,0.05049,0.000965239,0.000965239,0.000965239
14,163.616,1.29834,0.93403,1.56593,0.06736,0.89761,0.88529,0.95207,0.60663,1.21373,0.87251,1.56518,0.04477,0.000959289,0.000959289,0.000959289
15,175.175,1.36761,0.94895,1.52929,0.07485,0.89849,0.90503,0.95562,0.61935,1.18665,0.85402,1.52787,0.04211,0.000952889,0.000952889,0.000952889
16,186.447,1.30188,0.93713,1.52928,0.07485,0.9085,0.89027,0.9539,0.61428,1.20877,0.84197,1.56522,0.04069,0.000946048,0.000946048,0.000946048
17,198.155,1.36361,0.94086,1.53897,0.09043,0.89148,0.90773,0.94849,0.58242,1.24335,0.86136,1.59908,0.03611,0.000938772,0.000938772,0.000938772
18,209.778,1.22573,0.91718,1.54548,0.05855,0.88516,0.90274,0.94481,0.58234,1.22076,0.85042,1.56033,0.03335,0.000931067,0.000931067,0.000931067
19,221.02,1.25592,0.87767,1.48928,0.06989,0.92337,0.93155,0.95481,0.65644,1.05958,0.75228,1.38743,0.03141,0.000922942,0.000922942,0.000922942
20,232.729,1.27024,0.86409,1.41372,0.07407,0.93546,0.93984,0.96401,0.67917,1.04015,0.72544,1.33636,0.02949,0.000914405,0.000914405,0.000914405
21,244.528,1.19988,1.39256,1.35097,0.07701,0.93167,0.9202,0.96298,0.64691,1.12056,0.74078,1.39004,0.03095,0.000905463,0.000905463,0.000905463
22,256.089,1.25361,0.86365,1.42925,0.06545,0.94526,0.91272,0.96756,0.6385,1.17091,0.7495,1.4049,0.03005,0.000896127,0.000896127,0.000896127
23,267.328,1.18981,0.82951,1.35231,0.05749,0.93484,0.93017,0.97126,0.6784,1.07726,0.71388,1.3097,0.03105,0.000886404,0.000886404,0.000886404
24,278.958,1.22088,0.83986,1.36175,0.0587,0.92129,0.93766,0.96944,0.671,1.07551,0.71226,1.31157,0.03079,0.000876305,0.000876305,0.000876305
25,297.82,1.24941,0.83824,1.34196,0.07296,0.93151,0.91022,0.9665,0.61691,1.19073,0.75434,1.41765,0.03053,0.000865839,0.000865839,0.000865839
26,323.116,1.16328,0.81332,1.32936,0.05906,0.9272,0.92103,0.96644,0.5888,1.22375,0.76258,1.45521,0.02683,0.000855018,0.000855018,0.000855018
27,351.29,1.21543,0.80692,1.31354,0.0645,0.93973,0.93321,0.9742,0.63327,1.10775,0.7103,1.35608,0.02328,0.000843851,0.000843851,0.000843851
28,378.722,1.17498,0.76011,1.27066,0.06128,0.95586,0.94763,0.98191,0.70284,0.98697,0.66111,1.23983,0.02246,0.000832349,0.000832349,0.000832349
29,405.557,1.23259,0.7925,1.3171,0.06663,0.95211,0.94196,0.98106,0.7158,0.97801,0.66065,1.22442,0.02286,0.000820525,0.000820525,0.000820525
30,432.488,1.17463,0.76906,1.2749,0.05755,0.96733,0.93267,0.98139,0.69999,1.04726,0.67239,1.2717,0.02441,0.000808389,0.000808389,0.000808389
31,459.222,1.19477,0.75565,1.281,0.06144,0.95667,0.93591,0.98069,0.68402,1.09203,0.67814,1.29805,0.02629,0.000795954,0.000795954,0.000795954
32,474.459,1.12,0.72136,1.22367,0.05152,0.95896,0.93223,0.98128,0.7014,1.03795,0.65677,1.2539,0.02725,0.000783231,0.000783231,0.000783231
33,492.456,1.17039,0.73018,1.26726,0.05725,0.96163,0.93747,0.97964,0.72927,0.94352,0.62674,1.18048,0.02537,0.000770234,0.000770234,0.000770234
34,505.22,1.15122,0.74393,1.28022,0.05655,0.96611,0.93516,0.98239,0.73401,0.92636,0.61487,1.17481,0.02318,0.000756976,0.000756976,0.000756976
35,516.838,1.14252,0.72162,1.24824,0.05791,0.95707,0.94015,0.98022,0.7237,0.95275,0.61944,1.20143,0.02199,0.000743468,0.000743468,0.000743468
36,528.423,1.14417,0.75087,1.31401,0.06704,0.95183,0.93624,0.98106,0.70279,1.00869,0.63574,1.24584,0.02133,0.000729725,0.000729725,0.000729725
37,540.152,1.1048,0.71062,1.24552,0.05158,0.95171,0.93374,0.97939,0.69535,1.03327,0.63658,1.25764,0.02233,0.000715761,0.000715761,0.000715761
38,552.943,1.10357,0.71756,1.2932,0.05721,0.95351,0.93516,0.98003,0.7138,0.99654,0.62823,1.2051,0.02682,0.000701588,0.000701588,0.000701588
39,566.215,1.10966,0.7099,1.23396,0.05268,0.95147,0.93516,0.98126,0.70057,1.03514,0.63853,1.22339,0.02944,0.000687222,0.000687222,0.000687222
40,579.48,1.06628,0.68516,1.22669,0.04668,0.95229,0.93766,0.98203,0.69773,1.03775,0.63457,1.22473,0.02818,0.000672675,0.000672675,0.000672675
41,592.93,1.08949,0.68529,1.2135,0.04583,0.9471,0.94264,0.98318,0.72158,0.98965,0.61831,1.19562,0.02348,0.000657963,0.000657963,0.000657963
42,606.111,1.08771,0.7063,1.24031,0.05375,0.94995,0.93766,0.98239,0.72131,1.00103,0.62936,1.20851,0.02094,0.000643101,0.000643101,0.000643101
43,618.091,1.10795,0.70584,1.26713,0.05867,0.95648,0.94015,0.98259,0.73481,0.98251,0.62282,1.19343,0.02002,0.000628101,0.000628101,0.000628101
44,640.9,1.04254,0.66667,1.16186,0.04298,0.95272,0.95477,0.98259,0.74428,0.943,0.60263,1.16232,0.02054,0.000612981,0.000612981,0.000612981
45,668.008,1.07487,0.67223,1.19473,0.04819,0.95746,0.95424,0.98321,0.72732,0.99193,0.60978,1.18894,0.02257,0.000597754,0.000597754,0.000597754
46,694.506,1.08634,0.67733,1.19203,0.05777,0.95414,0.93396,0.98114,0.69268,1.0919,0.63513,1.24589,0.02756,0.000582435,0.000582435,0.000582435
47,721.124,1.05213,0.66243,1.18413,0.04792,0.95213,0.94242,0.98161,0.71129,1.03637,0.62136,1.2027,0.03009,0.00056704,0.00056704,0.00056704
48,742.561,1.08128,0.67881,1.19432,0.05054,0.9591,0.93555,0.98107,0.72696,0.98126,0.60566,1.16807,0.02976,0.000551584,0.000551584,0.000551584
49,754.058,1.06868,0.66986,1.19906,0.0482,0.9389,0.95794,0.98198,0.73504,0.95269,0.59288,1.15924,0.02642,0.000536081,0.000536081,0.000536081
50,772.793,1.07763,0.65656,1.17331,0.04787,0.94235,0.94763,0.98012,0.72075,0.97115,0.59802,1.18685,0.02351,0.000520548,0.000520548,0.000520548
51,798.174,1.04228,0.6544,1.20555,0.04727,0.95402,0.93126,0.97801,0.67725,1.08397,0.6325,1.27228,0.022,0.000505,0.000505,0.000505
52,824.801,1.06927,0.67142,1.2254,0.04591,0.9484,0.93516,0.97814,0.67509,1.08677,0.63059,1.27401,0.02121,0.000489452,0.000489452,0.000489452
53,851.171,1.0363,0.6437,1.22064,0.04893,0.95212,0.9422,0.98086,0.72671,0.96872,0.58493,1.18984,0.02044,0.000473919,0.000473919,0.000473919
54,877.539,1.07396,0.64843,1.19544,0.04882,0.959,0.93337,0.98287,0.74651,0.90855,0.5723,1.14643,0.02029,0.000458416,0.000458416,0.000458416
55,902.885,1.02984,0.6242,1.15712,0.04207,0.94739,0.93766,0.97819,0.70362,1.00106,0.61038,1.20952,0.02136,0.00044296,0.00044296,0.00044296
56,929.278,1.06866,0.64681,1.16337,0.04707,0.93614,0.94264,0.97631,0.67252,1.07352,0.63461,1.258,0.02244,0.000427565,0.000427565,0.000427565
57,954.666,1.03913,0.63727,1.17844,0.04536,0.95102,0.94015,0.97744,0.6959,1.02587,0.60841,1.22175,0.02239,0.000412246,0.000412246,0.000412246
58,980.097,1.01771,0.62548,1.13855,0.04326,0.96172,0.94015,0.98112,0.73121,0.94975,0.5743,1.1718,0.02099,0.000397019,0.000397019,0.000397019
59,1005.08,0.9929,0.60594,1.15927,0.04018,0.96322,0.94015,0.98168,0.74538,0.91718,0.55961,1.14931,0.0205,0.000381899,0.000381899,0.000381899
60,1029.48,1.03806,0.633,1.19506,0.04845,0.96339,0.94015,0.98123,0.75133,0.89674,0.55412,1.1338,0.0204,0.000366899,0.000366899,0.000366899
61,1055.86,0.98325,0.61036,1.14847,0.04025,0.96356,0.94264,0.98298,0.73734,0.93641,0.56794,1.15714,0.02116,0.000352037,0.000352037,0.000352037
62,1081.92,1.0063,0.62215,1.19583,0.04687,0.9643,0.94315,0.98061,0.71654,0.98551,0.58407,1.19054,0.02127,0.000337325,0.000337325,0.000337325
63,1108.72,1.0208,0.63206,1.16574,0.04607,0.96005,0.94015,0.98179,0.73243,0.93003,0.56848,1.15436,0.02025,0.000322778,0.000322778,0.000322778
64,1126.66,1.02448,0.61207,1.17438,0.04741,0.95958,0.93766,0.98137,0.73096,0.92707,0.57001,1.15225,0.02032,0.000308412,0.000308412,0.000308412
65,1137.89,0.99525,0.61906,1.14627,0.04273,0.95815,0.93516,0.98209,0.74486,0.89405,0.55852,1.13203,0.02017,0.000294239,0.000294239,0.000294239
66,1149.15,1.0005,0.62311,1.18379,0.04488,0.94967,0.94109,0.9822,0.7541,0.86821,0.551,1.1143,0.02087,0.000280275,0.000280275,0.000280275
67,1160.72,0.99058,0.64224,1.21237,0.04297,0.95483,0.94882,0.98283,0.75144,0.87352,0.54967,1.1175,0.02156,0.000266532,0.000266532,0.000266532
68,1172.13,0.99138,0.62771,1.16963,0.04738,0.95788,0.93766,0.98144,0.73876,0.90573,0.55937,1.14226,0.02173,0.000253024,0.000253024,0.000253024
69,1183.77,1.03507,0.6389,1.17139,0.04765,0.9497,0.94514,0.97863,0.70904,0.98287,0.58051,1.19461,0.02277,0.000239766,0.000239766,0.000239766
70,1195.48,1.01338,0.61824,1.13057,0.04108,0.95456,0.94287,0.97865,0.71602,0.97841,0.57521,1.19586,0.02059,0.000226769,0.000226769,0.000226769
71,1207.06,0.993,0.61586,1.16922,0.04494,0.95976,0.94264,0.9808,0.72957,0.93967,0.56221,1.17101,0.01924,0.000214046,0.000214046,0.000214046
72,1218.28,1.00988,0.61452,1.16045,0.04051,0.95949,0.94264,0.98113,0.73772,0.92801,0.55851,1.16379,0.01906,0.000201611,0.000201611,0.000201611
73,1229.68,0.99076,0.60407,1.12786,0.04156,0.95841,0.94514,0.98026,0.72723,0.94811,0.5647,1.17892,0.01933,0.000189475,0.000189475,0.000189475
74,1241.31,0.98684,0.60171,1.14587,0.04177,0.94668,0.94514,0.97913,0.70358,1.01334,0.58648,1.22051,0.0207,0.000177651,0.000177651,0.000177651
75,1252.72,0.98678,0.6169,1.15608,0.04041,0.94731,0.94148,0.97773,0.68506,1.05958,0.60299,1.2516,0.02166,0.000166149,0.000166149,0.000166149
76,1264.18,0.96175,0.60348,1.15895,0.03645,0.94738,0.94288,0.97823,0.69052,1.04706,0.59984,1.24107,0.02209,0.000154982,0.000154982,0.000154982
77,1275.51,0.98507,0.60466,1.14583,0.04336,0.95014,0.94514,0.98058,0.71626,0.98023,0.57552,1.19496,0.02112,0.000144161,0.000144161,0.000144161
78,1287.11,0.92837,0.57724,1.14706,0.03649,0.95955,0.94651,0.98341,0.73686,0.93151,0.55756,1.16183,0.0204,0.000133695,0.000133695,0.000133695
79,1298.49,0.96361,0.59691,1.16591,0.03886,0.95941,0.94318,0.98402,0.73893,0.92051,0.55276,1.15401,0.02031,0.000123596,0.000123596,0.000123596
80,1309.63,0.96265,0.59129,1.14128,0.04202,0.95978,0.94264,0.98429,0.74104,0.91796,0.55443,1.15226,0.02023,0.000113873,0.000113873,0.000113873
81,1320.99,0.99083,0.60487,1.17134,0.04893,0.96182,0.94237,0.98432,0.74291,0.9117,0.5486,1.14762,0.0201,0.000104537,0.000104537,0.000104537
82,1332.47,0.91856,0.58107,1.10632,0.03402,0.96101,0.94264,0.98453,0.73889,0.93036,0.55246,1.15899,0.02053,9.55951e-05,9.55951e-05,9.55951e-05
83,1343.41,0.96545,0.5908,1.14391,0.03607,0.95887,0.94514,0.98385,0.72857,0.956,0.56136,1.17575,0.02089,8.70577e-05,8.70577e-05,8.70577e-05
84,1354.93,0.96811,0.59616,1.13219,0.03917,0.9573,0.94514,0.98398,0.72525,0.96564,0.56233,1.18121,0.02074,7.89327e-05,7.89327e-05,7.89327e-05
85,1366.4,0.9507,0.58871,1.11167,0.03735,0.95415,0.94264,0.98271,0.72176,0.96553,0.56215,1.18116,0.02078,7.12282e-05,7.12282e-05,7.12282e-05
86,1377.66,0.93467,0.5828,1.12299,0.03799,0.9552,0.94264,0.98301,0.73203,0.94096,0.55114,1.16358,0.02045,6.39518e-05,6.39518e-05,6.39518e-05
