epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2092,2.55081,5.05691,2.68295,0.23295,0.00152,0.02494,0.00078,0.00023,2.58277,3.91342,2.55169,0.21148,0.00016,0.00016,0.08416
2,33.7781,2.51088,4.43329,2.58772,0.22585,0.00045,0.00748,0.00023,0.00011,2.47061,3.71177,2.46714,0.22365,0.000329919,0.000329919,0.0673299
3,47.9648,2.42203,4.08175,2.48908,0.21119,0.0003,0.00499,0.00015,2e-05,2.30158,3.51844,2.38385,0.21683,0.000499512,0.000499512,0.0504995
4,61.7266,2.3236,3.81989,2.38009,0.20832,0.00016,0.00249,8e-05,2e-05,2.21009,3.47038,2.35797,0.20146,0.000668528,0.000668528,0.0336685
5,72.9231,2.19251,3.66052,2.44487,0.19033,0,0,0,0,2.12316,3.3938,2.33047,0.19017,0.000836721,0.000836721,0.0168367
6,84.8211,2.12175,3.47873,2.29538,0.18794,0.02295,0.19701,0.01383,0.00387,1.90777,3.20065,2.30363,0.15291,0.000993906,0.000993906,0.000993906
7,96.4222,2.04906,3.28294,2.29541,0.16989,0.04384,0.58603,0.08521,0.0249,1.82771,3.04157,2.28216,0.14568,0.000991232,0.000991232,0.000991232
8,119.819,1.91903,3.10093,2.29651,0.15785,0.04922,0.80549,0.12893,0.04101,1.80785,2.83428,2.26475,0.14706,0.000988079,0.000988079,0.000988079
9,152.601,1.97768,2.82694,2.29242,0.16419,0.09946,0.74564,0.16402,0.0538,1.80664,2.60318,2.26494,0.15083,0.000984449,0.000984449,0.000984449
10,179.857,1.95364,2.5611,2.29032,0.164,0.21412,0.45885,0.21757,0.07593,1.77085,2.39012,2.2844,0.13755,0.000980345,0.000980345,0.000980345
11,206.705,1.89447,2.21089,2.30586,0.15399,0.2766,0.50125,0.28364,0.10314,1.7578,2.26289,2.3217,0.12754,0.000975773,0.000975773,0.000975773
12,232.822,1.93436,2.02677,2.32538,0.15879,0.39368,0.57107,0.40072,0.15162,1.73298,2.22956,2.32784,0.1205,0.000970736,0.000970736,0.000970736
13,257.995,1.85468,1.9175,2.32635,0.155,0.51281,0.57606,0.52536,0.21149,1.69197,2.02289,2.33906,0.11068,0.000965239,0.000965239,0.000965239
14,285.186,1.80313,1.70303,2.30698,0.13584,0.60291,0.65883,0.63004,0.26555,1.66841,1.68665,2.33465,0.11172,0.000959289,0.000959289,0.000959289
15,312.797,1.82755,1.57911,2.24983,0.14951,0.67378,0.69576,0.72,0.33449,1.6358,1.38696,2.32561,0.11332,0.000952889,0.000952889,0.000952889
16,341.711,1.78814,1.51002,2.28165,0.1398,0.76817,0.72569,0.78365,0.39675,1.59007,1.23223,2.3109,0.11044,0.000946048,0.000946048,0.000946048
17,369.884,1.82807,1.44586,2.21949,0.1623,0.77518,0.7606,0.80499,0.41526,1.55432,1.14919,2.34434,0.10539,0.000938772,0.000938772,0.000938772
18,397.128,1.63386,1.28527,2.39936,0.11912,0.77798,0.77773,0.81577,0.418,1.53659,1.12409,2.39376,0.1006,0.000931067,0.000931067,0.000931067
19,422.988,1.61163,1.20465,2.38955,0.1132,0.793,0.79293,0.84053,0.46463,1.47109,1.08715,2.37424,0.09534,0.000922942,0.000922942,0.000922942
20,450.133,1.56205,1.17481,2.3542,0.1163,0.81637,0.78055,0.85115,0.4535,1.49203,1.0844,2.41415,0.09361,0.000914405,0.000914405,0.000914405
21,476.429,1.49036,1.85314,2.25879,0.09879,0.8228,0.78742,0.86641,0.47558,1.47291,1.0316,2.38189,0.09219,0.000905463,0.000905463,0.000905463
22,635.77,1.56509,1.12566,2.38933,0.09993,0.82894,0.80968,0.88804,0.49292,1.45775,1.00849,2.35333,0.08763,0.000896127,0.000896127,0.000896127
23,657.882,1.53356,1.04226,2.32487,0.10408,0.81781,0.82838,0.89349,0.49738,1.43897,1.08488,2.34071,0.08494,0.000886404,0.000886404,0.000886404
24,680.785,1.53243,1.05377,2.35365,0.1047,0.82411,0.84129,0.89868,0.51894,1.42542,0.98951,2.27703,0.08241,0.000876305,0.000876305,0.000876305
25,698.87,1.56875,1.04811,2.25128,0.11082,0.82876,0.81796,0.89475,0.49168,1.48235,0.99718,2.28059,0.08583,0.000865839,0.000865839,0.000865839
26,713.706,1.47873,1.00458,2.22148,0.09991,0.8375,0.8404,0.90497,0.51979,1.43209,0.96129,2.19866,0.08268,0.000855018,0.000855018,0.000855018
27,729.911,1.53752,1.01578,2.11394,0.10688,0.83324,0.86284,0.90706,0.51926,1.42405,0.99206,2.1844,0.08195,0.000843851,0.000843851,0.000843851
