epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9207,2.4395,4.20891,2.48035,0.22635,0.11573,0.76309,0.183,0.05407,2.02695,2.95916,2.20004,0.21078,0.00016,0.00016,0.08416
2,26.5137,2.00632,2.46078,2.01443,0.20049,0.38029,0.33915,0.31882,0.11402,1.91099,2.67304,1.99478,0.17864,0.000326733,0.000326733,0.0673267
3,38.8776,1.7179,1.75002,1.9942,0.14092,0.45295,0.71072,0.52466,0.23373,1.50789,1.5873,1.91115,0.08564,0.0004901,0.0004901,0.0504901
4,50.5929,1.55733,1.53439,2.09998,0.11011,0.51183,0.73566,0.59626,0.25977,1.62305,1.46178,2.02564,0.08102,0.000650101,0.000650101,0.0336501
5,62.1857,1.55193,1.42489,2.12721,0.0975,0.61529,0.70995,0.70393,0.33364,1.60253,1.40723,2.06275,0.07474,0.000806736,0.000806736,0.0168067
6,74.6096,1.62871,1.29919,1.9736,0.10157,0.71923,0.84289,0.82546,0.47706,1.34533,1.12595,1.88442,0.06349,0.0009505,0.0009505,0.0009505
7,86.6017,1.58871,1.23815,1.93558,0.09493,0.79045,0.8404,0.86064,0.47631,1.3209,1.1251,1.92842,0.06399,0.0009406,0.0009406,0.0009406
8,98.7124,1.44646,1.15503,1.89545,0.08595,0.77745,0.84502,0.86172,0.44976,1.41916,1.08808,1.97248,0.0643,0.0009307,0.0009307,0.0009307
9,111.045,1.41588,1.07744,1.86211,0.09018,0.82956,0.86284,0.89434,0.52037,1.30555,0.98359,1.81427,0.05743,0.0009208,0.0009208,0.0009208
10,122.819,1.37443,1.08362,1.73071,0.08374,0.85128,0.88279,0.91646,0.57955,1.18752,0.93266,1.65918,0.04932,0.0009109,0.0009109,0.0009109
11,134.894,1.37448,1.01131,1.67837,0.08028,0.84246,0.88529,0.92286,0.5715,1.19114,0.98203,1.65693,0.04613,0.000901,0.000901,0.000901
