epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0599,2.42287,4.52757,2.54563,0.21734,0.04121,0.6783,0.09438,0.02611,2.05079,3.18807,2.10397,0.17844,0.00032,0.00032,0.00032
2,26.5253,2.02028,3.03793,2.01224,0.18543,0.38958,0.59046,0.41734,0.14655,1.98881,2.51076,1.81244,0.17049,0.000659839,0.000659839,0.000659839
3,38.6423,1.88188,2.38224,1.83446,0.15826,0.48825,0.6808,0.56203,0.26022,1.73924,2.01674,1.94582,0.09795,0.000999023,0.000999023,0.000999023
4,50.3419,1.61298,1.92085,1.9273,0.12728,0.6368,0.76954,0.7644,0.43484,1.38085,1.7095,1.86376,0.08003,0.00133706,0.00133706,0.00133706
5,61.7799,1.54212,1.65851,1.9334,0.10463,0.63457,0.71571,0.73758,0.43998,1.30486,1.47984,1.80872,0.06483,0.00167344,0.00167344,0.00167344
6,74.0508,1.48353,1.51559,1.87526,0.10499,0.71969,0.78554,0.79751,0.41757,1.41967,1.2456,1.85077,0.06046,0.00198781,0.00198781,0.00198781
7,86.147,1.45712,1.32224,1.7272,0.1026,0.8505,0.87957,0.91719,0.54108,1.29116,1.17397,1.67174,0.05493,0.00198246,0.00198246,0.00198246
8,98.6617,1.58326,1.23662,1.70604,0.09533,0.59197,0.73444,0.6896,0.26455,1.92074,1.69702,2.13154,0.08179,0.00197616,0.00197616,0.00197616
9,111.184,1.47253,1.20093,1.67602,0.0829,0.83723,0.87224,0.9137,0.5486,1.39166,1.06914,1.62451,0.062,0.0019689,0.0019689,0.0019689
10,123.431,1.40769,1.12749,1.53115,0.07869,0.91154,0.89776,0.9473,0.6116,1.20696,0.88303,1.51298,0.04031,0.00196069,0.00196069,0.00196069
11,135.565,1.359,1.02215,1.55848,0.07867,0.91453,0.89526,0.9493,0.54474,1.39248,0.92875,1.71428,0.03636,0.00195155,0.00195155,0.00195155
12,151.021,1.32294,0.98772,1.56977,0.07342,0.93439,0.88788,0.96089,0.60808,1.26821,0.84069,1.5872,0.04139,0.00194147,0.00194147,0.00194147
13,178.108,1.37262,0.99702,1.53137,0.08076,0.91912,0.92768,0.96115,0.66887,1.1246,0.77254,1.3742,0.04259,0.00193048,0.00193048,0.00193048
14,206.041,1.33223,0.94,1.46687,0.06566,0.91814,0.89027,0.95661,0.6114,1.22037,0.82617,1.42882,0.04471,0.00191858,0.00191858,0.00191858
15,233.968,1.31916,0.93008,1.39292,0.07495,0.91977,0.90025,0.95218,0.55531,1.33499,0.87302,1.49894,0.04322,0.00190578,0.00190578,0.00190578
16,246.078,1.2737,0.90358,1.34076,0.08618,0.94021,0.902,0.9576,0.64044,1.16199,0.76211,1.34922,0.04059,0.0018921,0.0018921,0.0018921
17,258.414,1.38158,0.90737,1.35581,0.10222,0.95095,0.91853,0.96797,0.6866,1.0416,0.71118,1.27612,0.02743,0.00187754,0.00187754,0.00187754
18,270.775,1.25591,0.86028,1.33889,0.06728,0.93786,0.90335,0.96271,0.58326,1.31172,0.76949,1.48406,0.03479,0.00186213,0.00186213,0.00186213
19,282.464,1.23202,0.8487,1.32025,0.07083,0.93814,0.90524,0.96852,0.62066,1.20644,0.74953,1.38835,0.03805,0.00184588,0.00184588,0.00184588
20,294.332,1.18713,0.81688,1.27205,0.0684,0.96176,0.91022,0.9762,0.69457,1.03293,0.68554,1.23526,0.03441,0.00182881,0.00182881,0.00182881
21,306.384,1.1411,1.29337,1.21161,0.07212,0.94803,0.90978,0.97079,0.69476,1.01994,0.67254,1.25461,0.02709,0.00181093,0.00181093,0.00181093
22,318.195,1.20541,0.78321,1.30364,0.06441,0.96505,0.91272,0.9739,0.7128,1.0121,0.63205,1.23524,0.02544,0.00179225,0.00179225,0.00179225
23,329.782,1.13357,0.73775,1.24746,0.05968,0.94871,0.92248,0.97436,0.72334,0.97016,0.62193,1.1955,0.02635,0.00177281,0.00177281,0.00177281
24,341.779,1.16229,0.76081,1.27306,0.05689,0.96319,0.91364,0.97274,0.69555,1.05064,0.64179,1.23864,0.03094,0.00175261,0.00175261,0.00175261
25,353.73,1.20527,0.75449,1.27737,0.07179,0.94987,0.93267,0.97347,0.65806,1.14889,0.66116,1.3186,0.02796,0.00173168,0.00173168,0.00173168
26,365.118,1.14156,0.72412,1.26462,0.05365,0.96599,0.93017,0.9761,0.69649,1.06082,0.62946,1.25649,0.02479,0.00171004,0.00171004,0.00171004
27,376.918,1.17265,0.73198,1.24492,0.05728,0.95169,0.92519,0.97445,0.72049,0.98567,0.6257,1.21323,0.02435,0.0016877,0.0016877,0.0016877
