epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2962,1.77964,5.30984,0.0122,0.14726,0.02303,0.37905,0.02577,0.00863,1.61671,4.41465,0.01709,0.07232,0.00032,0.00032,0.00032
2,28.6204,1.4401,4.4138,0.01187,0.10913,0.03439,0.56608,0.06324,0.02554,1.2527,3.98154,0.01574,0.05192,0.000659839,0.000659839,0.000659839
3,41.8544,1.32181,4.09601,0.01179,0.07904,0.05318,0.87531,0.21542,0.11867,1.14325,3.55409,0.01656,0.03833,0.000999023,0.000999023,0.000999023
4,54.7001,1.32448,3.79059,0.01217,0.0812,0.74171,0.27929,0.55749,0.38807,1.02335,3.09268,0.01698,0.03076,0.00133706,0.00133706,0.00133706
5,67.8975,1.26273,3.31072,0.01275,0.06864,0.57395,0.64339,0.6663,0.46191,1.06388,2.75578,0.01644,0.03454,0.00167344,0.00167344,0.00167344
6,81.5532,1.32052,2.89119,0.01164,0.07859,0.62806,0.66956,0.74137,0.51258,1.09068,2.45933,0.01657,0.04084,0.00198781,0.00198781,0.00198781
7,95.0581,1.33723,2.67663,0.01224,0.07767,0.7413,0.64589,0.77978,0.50062,1.13791,2.60926,0.01677,0.032,0.00198246,0.00198246,0.00198246
8,117.101,1.25298,2.54089,0.01262,0.07047,0.78174,0.63092,0.78768,0.50761,1.11811,2.64069,0.01688,0.0324,0.00197616,0.00197616,0.00197616
9,131.367,1.24846,2.50485,0.0125,0.07342,0.74824,0.69825,0.80589,0.57147,1.01559,2.67421,0.01729,0.03437,0.0019689,0.0019689,0.0019689
10,144.894,1.19936,2.53377,0.01304,0.05602,0.76904,0.68329,0.80798,0.57808,1.00938,2.47707,0.01731,0.03268,0.00196069,0.00196069,0.00196069
11,157.894,1.22058,2.24134,0.0125,0.05829,0.75638,0.6783,0.80496,0.50095,1.22228,2.4323,0.01645,0.03356,0.00195155,0.00195155,0.00195155
12,171.194,1.25241,2.23336,0.01159,0.05138,0.69756,0.66721,0.7929,0.54602,1.09101,2.40222,0.01686,0.03918,0.00194147,0.00194147,0.00194147
13,184.33,1.22004,2.34482,0.01262,0.05825,0.68655,0.72101,0.79132,0.54749,1.07126,2.30712,0.01687,0.03354,0.00193048,0.00193048,0.00193048
14,202.946,1.14578,2.13459,0.0124,0.05273,0.72389,0.70823,0.79512,0.52431,1.12254,2.19629,0.01684,0.0261,0.00191858,0.00191858,0.00191858
15,216.858,1.20865,1.99315,0.01236,0.05786,0.72483,0.71072,0.79945,0.58697,0.98048,2.03121,0.01752,0.02545,0.00190578,0.00190578,0.00190578
16,230.671,1.18916,1.93639,0.01292,0.06481,0.76695,0.68116,0.81421,0.58799,0.99734,1.98473,0.01728,0.03022,0.0018921,0.0018921,0.0018921
17,244.463,1.31797,1.85407,0.01107,0.06912,0.73574,0.7581,0.82975,0.55926,1.0834,1.95047,0.01655,0.03023,0.00187754,0.00187754,0.00187754
18,257.975,1.18726,2.01272,0.01226,0.05056,0.77823,0.74385,0.83766,0.53702,1.12022,1.97128,0.01604,0.03026,0.00186213,0.00186213,0.00186213
19,270.848,1.17113,1.91072,0.01149,0.05868,0.77729,0.74314,0.84081,0.52569,1.14078,1.97392,0.01586,0.03014,0.00184588,0.00184588,0.00184588
20,284.287,1.17945,1.90636,0.01124,0.06525,0.77734,0.75062,0.84499,0.53525,1.09867,1.92761,0.01574,0.02728,0.00182881,0.00182881,0.00182881
21,314.896,1.15944,2.78236,0.01057,0.05686,0.76217,0.75121,0.84257,0.55593,1.04842,1.77347,0.01575,0.02247,0.00181093,0.00181093,0.00181093
22,330.619,1.17838,1.66692,0.01194,0.06043,0.71613,0.81156,0.81224,0.5457,1.01804,1.51062,0.01594,0.02012,0.00179225,0.00179225,0.00179225
23,343.877,1.06144,1.4652,0.01184,0.04651,0.76266,0.80798,0.82526,0.59427,0.94957,1.3331,0.01626,0.02441,0.00177281,0.00177281,0.00177281
24,357.26,1.10021,1.48534,0.01195,0.04752,0.75007,0.86035,0.84376,0.62027,0.94996,1.19629,0.01637,0.02387,0.00175261,0.00175261,0.00175261
25,370.697,1.15282,1.41128,0.01167,0.05278,0.77005,0.8404,0.85924,0.58008,1.10001,1.16804,0.01618,0.03191,0.00173168,0.00173168,0.00173168
26,383.596,1.1066,1.3529,0.01208,0.04554,0.81115,0.83541,0.88149,0.63252,1.02285,1.06297,0.01647,0.03031,0.00171004,0.00171004,0.00171004
27,397.418,1.14122,1.23051,0.01221,0.04745,0.84453,0.83541,0.8995,0.68198,0.93807,0.96241,0.01678,0.02389,0.0016877,0.0016877,0.0016877
28,410.616,1.10221,1.19176,0.01166,0.04975,0.85423,0.86221,0.91528,0.69685,0.93388,0.89557,0.01676,0.01878,0.0016647,0.0016647,0.0016647
29,423.885,1.15349,1.25111,0.01199,0.04973,0.86895,0.85985,0.92548,0.69247,0.97867,0.88124,0.01642,0.01992,0.00164105,0.00164105,0.00164105
30,436.944,1.10954,1.16608,0.01245,0.04181,0.8641,0.88795,0.93656,0.71258,0.95485,0.80906,0.01616,0.02088,0.00161678,0.00161678,0.00161678
31,450.218,1.12724,1.06056,0.01101,0.04384,0.89825,0.88062,0.94413,0.71821,0.97557,0.77928,0.01616,0.0203,0.00159191,0.00159191,0.00159191
32,463.238,1.10253,1.08444,0.01134,0.03752,0.8968,0.86534,0.94365,0.70688,1.02187,0.76135,0.01613,0.02004,0.00156646,0.00156646,0.00156646
33,476.287,1.15022,1.01192,0.0116,0.04729,0.90677,0.87032,0.94324,0.70605,1.02238,0.74414,0.01625,0.0195,0.00154047,0.00154047,0.00154047
34,489.311,1.13266,1.05363,0.01225,0.04931,0.92767,0.87781,0.94945,0.72291,0.95655,0.69459,0.01666,0.02228,0.00151395,0.00151395,0.00151395
35,502.472,1.09189,0.98213,0.01202,0.04593,0.9213,0.89776,0.95041,0.70681,1.00486,0.69904,0.01663,0.03478,0.00148694,0.00148694,0.00148694
36,515.685,1.15063,1.0609,0.01252,0.05214,0.91077,0.89526,0.9499,0.70979,0.98353,0.67863,0.01644,0.0324,0.00145945,0.00145945,0.00145945
37,528.856,1.09239,0.97573,0.01178,0.04111,0.92952,0.86534,0.95029,0.72796,0.93212,0.63318,0.0163,0.0218,0.00143152,0.00143152,0.00143152
38,541.541,1.04983,0.95225,0.01271,0.04817,0.87031,0.91272,0.95077,0.72024,0.94585,0.57771,0.01584,0.02185,0.00140318,0.00140318,0.00140318
39,554.395,1.07163,0.91041,0.01174,0.04489,0.87765,0.91228,0.95507,0.71494,0.98013,0.55695,0.01578,0.0227,0.00137444,0.00137444,0.00137444
40,567.275,1.01988,0.85977,0.01242,0.03619,0.88398,0.91202,0.95546,0.72939,0.94045,0.5329,0.01603,0.01808,0.00134535,0.00134535,0.00134535
41,580.349,1.04595,0.83674,0.01194,0.03727,0.88878,0.91022,0.95392,0.73941,0.91818,0.52505,0.01626,0.01654,0.00131593,0.00131593,0.00131593
42,593.162,1.08013,0.85351,0.01295,0.05332,0.87209,0.90111,0.95431,0.70535,1.02886,0.54723,0.01619,0.01544,0.0012862,0.0012862,0.0012862
43,606.065,1.10957,0.85089,0.01329,0.05016,0.9096,0.86783,0.95547,0.7052,1.0451,0.54768,0.01615,0.018,0.0012562,0.0012562,0.0012562
44,619.245,1.05418,0.82397,0.01168,0.03545,0.92133,0.87611,0.95599,0.72691,0.94951,0.51974,0.01625,0.02502,0.00122596,0.00122596,0.00122596
45,632.488,1.07646,0.83128,0.01223,0.04135,0.9086,0.89246,0.95497,0.71823,0.98843,0.52049,0.01608,0.03171,0.00119551,0.00119551,0.00119551
46,656.059,1.10184,0.83884,0.01092,0.04808,0.91437,0.87032,0.95267,0.67746,1.10679,0.55363,0.01566,0.03776,0.00116487,0.00116487,0.00116487
47,669.212,1.04513,0.78855,0.01093,0.03925,0.88052,0.89776,0.95177,0.67209,1.12535,0.54313,0.01549,0.03078,0.00113408,0.00113408,0.00113408
48,683.222,1.07166,0.7967,0.01124,0.04802,0.91773,0.89014,0.9531,0.69221,1.05966,0.52238,0.01554,0.02012,0.00110317,0.00110317,0.00110317
