epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7199,2.4395,4.20891,2.48035,0.22635,0.11573,0.76309,0.183,0.05407,2.02695,2.95916,2.20004,0.21078,0.00016,0.00016,0.08416
2,30.9721,2.0062,2.45978,2.01373,0.20037,0.40833,0.33915,0.32173,0.11351,1.89781,2.66033,1.99265,0.17807,0.000329991,0.000329991,0.06733
3,44.8743,1.71682,1.74633,1.99586,0.13998,0.4465,0.71818,0.51627,0.23167,1.51408,1.60014,1.9222,0.08438,0.000499946,0.000499946,0.0504999
4,58.4882,1.55703,1.53022,2.10279,0.10927,0.50963,0.72319,0.59237,0.25694,1.65007,1.47309,2.04152,0.08158,0.000669836,0.000669836,0.0336698
5,72.0505,1.55446,1.42542,2.12155,0.09809,0.62876,0.70574,0.69016,0.32884,1.61268,1.42635,2.06934,0.0735,0.000839635,0.000839635,0.0168396
6,86.3898,1.63689,1.2914,1.96646,0.10032,0.74774,0.83541,0.83989,0.48057,1.3387,1.11599,1.8863,0.06327,0.000999322,0.000999322,0.000999322
7,100.525,1.58953,1.23978,1.92785,0.09576,0.78576,0.84147,0.86214,0.47516,1.32343,1.12142,1.92868,0.06354,0.000999023,0.000999023,0.000999023
8,114.649,1.44929,1.15326,1.88545,0.08681,0.7703,0.8404,0.8637,0.44762,1.43173,1.07661,1.9737,0.0639,0.000998671,0.000998671,0.000998671
9,129.027,1.42047,1.07629,1.85015,0.09015,0.83282,0.86783,0.90275,0.52244,1.29746,0.9757,1.79561,0.05658,0.000998264,0.000998264,0.000998264
10,142.887,1.37824,1.0824,1.71574,0.0833,0.85351,0.8803,0.91844,0.57816,1.19002,0.93247,1.64965,0.0491,0.000997803,0.000997803,0.000997803
11,156.936,1.37517,1.00568,1.6638,0.08047,0.82841,0.89094,0.91684,0.54778,1.23318,1.03597,1.6824,0.04648,0.000997288,0.000997288,0.000997288
12,171.075,1.34813,1.00066,1.62661,0.07503,0.80085,0.88279,0.90853,0.49544,1.40156,1.13018,1.79016,0.04991,0.00099672,0.00099672,0.00099672
13,185.022,1.34402,0.99237,1.61989,0.08239,0.8577,0.87531,0.92932,0.53848,1.3487,0.9881,1.71815,0.04997,0.000996097,0.000996097,0.000996097
14,199.039,1.29944,0.93363,1.56661,0.06719,0.89221,0.88778,0.94958,0.6078,1.20685,0.87117,1.56048,0.0436,0.00099542,0.00099542,0.00099542
15,213.22,1.36804,0.94877,1.53379,0.07351,0.89446,0.90524,0.9541,0.6191,1.18269,0.85643,1.52732,0.04046,0.00099469,0.00099469,0.00099469
16,227.056,1.30024,0.93337,1.532,0.07499,0.90961,0.88778,0.95494,0.613,1.20886,0.84268,1.57114,0.04002,0.000993906,0.000993906,0.000993906
17,241.158,1.36189,0.93593,1.54524,0.08958,0.89767,0.89689,0.94893,0.58654,1.2176,0.85267,1.58968,0.03485,0.000993068,0.000993068,0.000993068
18,255.297,1.22272,0.90421,1.55298,0.05817,0.88793,0.90773,0.94657,0.59204,1.18471,0.83461,1.54298,0.03326,0.000992177,0.000992177,0.000992177
19,269.02,1.26619,0.87419,1.50763,0.06799,0.92701,0.93516,0.95621,0.66323,1.05272,0.7414,1.38242,0.03061,0.000991232,0.000991232,0.000991232
20,283.293,1.26252,0.85574,1.43543,0.07078,0.93787,0.94264,0.96334,0.67515,1.0489,0.72514,1.35088,0.03023,0.000990234,0.000990234,0.000990234
21,297.623,1.26644,0.86057,1.44454,0.07001,0.9326,0.9202,0.96529,0.62918,1.07053,0.75309,1.35149,0.03063,0.000989183,0.000989183,0.000989183
22,311.767,1.26505,0.85966,1.46229,0.0667,0.94577,0.91324,0.96959,0.65138,1.04415,0.73515,1.38801,0.02915,0.000988079,0.000988079,0.000988079
23,325.65,1.18128,0.81599,1.36662,0.05603,0.94248,0.93988,0.97182,0.68971,1.04598,0.70051,1.28402,0.03115,0.000986922,0.000986922,0.000986922
24,339.813,1.22996,0.83526,1.36714,0.05804,0.92625,0.94015,0.96943,0.68182,1.05114,0.70295,1.29169,0.0293,0.000985711,0.000985711,0.000985711
